vcn_id,vcn_vac_id,vcn_vcc_id,vcn_quantity,vcn_start_dt,vcn_end_dt
1,1,1,200,2021-11-03T08:00,2021-11-03T14:00
2,2,3,100,2021-12-01T08:00,2021-12-01T14:00
3,3,1,149,2021-12-03T08:00,2021-12-03T14:00
4,3,1,150,2020-12-03T08:00,2020-12-03T14:00
5,1,3,150,2021-12-03T08:00,2021-12-03T14:00
6,1,3,300,2021-11-06T08:00,2021-11-06T14:00
7,1,3,199,2021-12-04T08:00,2021-12-04T12:00
8,1,3,150,2021-12-04T14:00,2021-12-04T17:00
9,2,1,200,2021-12-04T08:00,2021-12-04T12:00
10,2,1,250,2021-12-04T13:00,2021-12-04T18:00
11,4,3,198,2021-12-05T02:00,2021-12-05T02:16
